; - FAJA_FIR
FAJA_FIR 255 
S022.48.17.806 E028.05.44.757
S022.49.39.802 E028.02.55.715
S022.50.26.008 E028.02.29.088
S022.52.04.441 E028.02.49.519
S022.53.23.625 E028.02.24.014
S022.55.26.289 E028.01.06.374
S022.56.51.883 E027.58.35.658
S022.57.37.869 E027.56.05.081
S023.00.14.057 E027.56.13.510
S023.02.25.471 E027.56.25.381
S023.03.08.837 E027.55.23.708
S023.03.16.640 E027.55.19.856
S023.05.16.072 E027.53.08.310
S023.06.05.490 E027.51.01.191
S023.06.23.048 E027.48.50.526
S023.07.26.222 E027.49.03.000
S023.08.15.424 E027.48.20.552
S023.08.18.690 E027.48.19.739
S023.08.33.852 E027.47.08.026
S023.08.13.251 E027.45.50.240
S023.08.16.968 E027.45.43.650
S023.10.13.380 E027.46.35.738
S023.11.15.155 E027.46.11.728
S023.13.37.181 E027.44.23.591
S023.13.50.219 E027.42.56.175
S023.12.21.553 E027.42.25.056
S023.12.19.541 E027.40.14.448
S023.13.20.934 E027.39.00.459
S023.12.57.686 E027.36.02.300
S023.14.59.038 E027.35.46.219
S023.15.48.365 E027.34.48.496
S023.21.05.689 E027.33.40.295
S023.23.35.748 E027.31.16.406
S023.23.31.730 E027.29.35.348
S023.22.58.074 E027.26.13.876
S023.23.33.793 E027.26.19.358
S023.25.22.684 E027.25.28.231
S023.25.07.596 E027.24.21.389
S023.23.36.306 E027.24.21.161
S023.23.46.785 E027.22.58.072
S023.25.37.647 E027.22.38.326
S023.25.44.172 E027.20.57.588
S023.24.13.638 E027.21.00.669
S023.24.17.321 E027.20.54.090
S023.24.39.624 E027.19.14.594
S023.26.33.046 E027.18.35.733
S023.27.48.558 E027.17.48.849
S023.28.11.992 E027.16.36.999
S023.28.49.003 E027.15.00.871
S023.29.42.419 E027.14.05.396
S023.28.59.236 E027.13.37.437
S023.29.14.865 E027.12.44.453
S023.30.12.803 E027.12.15.972
S023.30.14.036 E027.12.13.768
S023.31.31.150 E027.12.45.895
S023.31.47.970 E027.11.50.796
S023.31.21.367 E027.10.48.358
S023.32.00.321 E027.10.13.664
S023.30.39.953 E027.08.41.935
S023.31.11.971 E027.07.59.632
S023.33.43.858 E027.09.03.192
S023.34.24.298 E027.08.35.646
S023.33.56.573 E027.07.35.278
S023.34.12.956 E027.06.30.780
S023.35.38.244 E027.06.32.898
S023.35.54.299 E027.05.04.104
S023.36.47.261 E027.04.38.960
S023.36.42.911 E027.03.26.696
S023.37.29.601 E027.04.12.841
S023.39.03.293 E027.04.39.067
S023.40.00.941 E027.03.50.165
S023.40.48.087 E027.02.45.258
S023.39.08.537 E027.02.14.812
S023.38.15.153 E027.00.35.633
S023.39.19.840 E026.59.54.302
S023.41.23.805 E027.00.11.130
S023.41.49.980 E026.58.48.975
S023.42.45.798 E026.58.38.286
S023.45.46.079 E026.57.57.139
S023.47.46.555 E026.57.38.935
S023.49.45.352 E026.57.27.364
S023.50.54.335 E026.56.33.360
S023.51.02.903 E026.56.33.042
S023.51.47.785 E026.56.02.466
S023.52.26.847 E026.56.53.149
S023.57.15.994 E026.55.47.692
S024.00.19.944 E026.54.44.854
S024.01.22.783 E026.54.53.471
S024.02.48.148 E026.53.55.181
S024.04.03.604 E026.53.29.916
S024.05.25.836 E026.52.57.207
S024.06.34.970 E026.51.57.543
S024.07.58.825 E026.52.11.803
S024.08.37.253 E026.52.07.412
S024.09.38.965 E026.52.31.026
S024.10.31.061 E026.52.12.499
S024.11.42.078 E026.52.26.337
S024.13.21.588 E026.52.28.912
S024.14.57.523 E026.52.01.958
S024.16.02.720 E026.50.52.588
S024.16.43.419 E026.49.18.750
S024.18.06.559 E026.47.33.325
S024.17.56.191 E026.45.56.381
S024.18.22.961 E026.43.52.265
S024.18.26.627 E026.43.45.617
S024.19.19.220 E026.43.10.682
S024.19.21.260 E026.43.12.017
S024.20.09.563 E026.41.34.091
S024.20.53.009 E026.40.20.101
S024.22.18.448 E026.40.00.994
S024.22.52.913 E026.38.53.260
S024.24.08.964 E026.36.29.574
S024.25.23.455 E026.34.49.717
S024.26.58.425 E026.33.38.352
S024.27.26.971 E026.32.56.517
S024.28.28.181 E026.31.35.528
S024.28.29.401 E026.31.33.305
S024.29.31.820 E026.30.40.380
S024.31.03.585 E026.30.09.737
S024.32.40.066 E026.29.30.280
S024.32.52.215 E026.29.08.099
S024.33.59.995 E026.28.25.151
S024.36.02.626 E026.27.42.350
S024.36.39.766 E026.26.54.546
S024.36.54.669 E026.25.52.046
S024.37.26.959 E026.25.13.115
S024.38.16.383 E026.25.09.437
S024.38.54.669 E026.24.40.011
S024.38.25.444 E026.23.26.760
S024.43.10.278 E026.00.37.858
S024.43.46.316 E025.59.35.692
S024.44.47.147 E025.57.43.736
S024.44.35.671 E025.55.10.129
S024.44.54.870 E025.54.15.998
S024.45.13.629 E025.50.56.674
S024.46.04.700 E025.50.49.718
S024.47.20.462 E025.50.44.548
S024.48.43.016 E025.51.52.949
S024.49.35.061 E025.51.46.846
S024.50.27.210 E025.52.31.668
S024.50.59.731 E025.52.48.915
S024.51.40.830 E025.53.07.420
S024.51.46.027 E025.53.08.699
S024.52.50.920 E025.53.30.065
S024.53.26.588 E025.52.58.914
S024.54.47.109 E025.52.53.444
S024.55.10.108 E025.51.38.179
S024.56.44.172 E025.50.56.583
S025.02.03.929 E025.49.17.265
S025.07.16.801 E025.46.42.918
S025.16.04.738 E025.42.35.267
S025.30.07.764 E025.38.19.120
S025.37.52.771 E025.34.54.848
S025.40.32.797 E025.32.10.749
S025.41.57.574 E025.28.43.517
S025.45.17.984 E025.21.59.313
S025.46.07.689 E025.20.48.631
S025.46.16.489 E025.19.18.256
S025.46.04.568 E025.17.41.098
S025.45.58.770 E025.15.57.812
S025.45.59.214 E025.14.48.330
S025.45.57.033 E025.13.03.761
S025.45.38.082 E025.11.45.383
S025.46.00.278 E025.10.24.114
S025.45.39.833 E025.09.15.372
S025.45.41.066 E025.07.53.904
S025.45.19.062 E025.06.30.808
S025.44.21.619 E025.05.34.571
S025.43.59.513 E025.04.11.186
S025.44.05.029 E025.03.15.227
S025.43.19.238 E025.02.36.165
S025.43.52.117 E025.01.11.261
S025.44.39.407 E024.59.58.937
S025.45.01.379 E024.59.00.179
S025.45.28.128 E024.58.21.021
S025.45.30.743 E024.58.16.073
S025.46.11.872 E024.57.09.703
S025.46.55.373 E024.55.41.648
S025.47.53.330 E024.54.26.266
S025.48.23.457 E024.53.48.907
S025.48.23.030 E024.52.36.377
S025.48.19.502 E024.50.55.668
S025.48.35.936 E024.49.50.530
S025.49.08.952 E024.47.17.200
S025.48.09.473 E024.43.34.604
S025.49.16.084 E024.41.22.231
S025.49.11.246 E024.40.22.899
S025.47.20.541 E024.35.34.464
S025.46.28.238 E024.34.19.041
S025.46.27.868 E024.33.23.160
S025.44.32.080 E024.28.26.790
S025.44.06.572 E024.27.21.251
S025.43.52.882 E024.26.33.035
S025.44.55.517 E024.25.30.666
S025.44.32.825 E024.24.36.664
S025.45.32.451 E024.24.09.766
S025.45.39.075 E024.23.11.707
S025.45.34.002 E024.21.33.447
S025.45.05.676 E024.20.39.470
S025.43.42.824 E024.19.24.066
S025.42.35.561 E024.19.44.064
S025.42.36.754 E024.18.15.947
S025.43.10.613 E024.17.51.277
S025.42.22.710 E024.15.54.246
S025.40.28.772 E024.14.29.654
S025.38.24.929 E024.13.05.448
S025.37.32.178 E024.12.22.520
S025.37.24.066 E024.11.11.560
S025.37.46.429 E024.09.59.896
S025.37.19.181 E024.10.05.857
S025.36.38.237 E024.09.40.149
S025.36.41.749 E024.08.49.614
S025.37.06.577 E024.08.42.055
S025.37.35.950 E024.07.28.619
S025.37.50.513 E024.06.09.238
S025.37.55.712 E024.04.50.565
S025.38.23.430 E024.04.08.839
S025.38.33.106 E024.03.15.873
S025.38.08.297 E024.02.14.466
S025.38.41.162 E024.01.45.796
S025.38.39.544 E024.00.22.705
S025.37.50.199 E024.00.31.211
S025.37.03.036 E024.00.18.120
S025.37.03.243 E023.57.30.379
S025.38.13.591 E023.56.34.454
S025.37.22.624 E023.54.21.722
S025.36.29.190 E023.54.17.438
S025.35.49.819 E023.53.00.622
S025.34.33.023 E023.53.01.284
S025.33.52.289 E023.50.38.258
S025.33.07.642 E023.51.18.763
S025.32.42.551 E023.50.07.487
S025.33.11.005 E023.49.06.948
S025.31.43.865 E023.48.35.021
S025.31.29.780 E023.49.02.161
S025.30.11.666 E023.48.52.395
S025.30.47.555 E023.48.06.168
S025.30.10.054 E023.47.29.495
S025.30.02.011 E023.46.18.867
S025.29.14.109 E023.45.15.887
S025.28.22.954 E023.45.16.529
S025.27.36.204 E023.44.56.985
S025.26.59.572 E023.43.32.629
S025.27.33.752 E023.42.09.530
S025.27.08.799 E023.42.23.363
S025.26.43.786 E023.41.51.489
S025.26.53.348 E023.40.58.663
S025.26.12.226 E023.40.00.355
S025.25.41.760 E023.40.30.427
S025.25.07.982 E023.40.09.400
S025.25.11.473 E023.39.45.407
S025.25.33.272 E023.39.03.351
S025.25.38.934 E023.37.54.859
S025.24.43.246 E023.37.52.856
S025.24.07.037 E023.37.07.311
S025.23.13.515 E023.37.29.689
S025.22.56.225 E023.36.36.257
S025.23.40.385 E023.36.19.164
S025.23.33.585 E023.35.29.239
S025.22.30.054 E023.35.25.670
S025.22.24.446 E023.34.10.280
S025.22.06.372 E023.33.36.135
S025.21.16.913 E023.34.14.068
S025.21.04.590 E023.33.40.231
S025.21.12.684 E023.32.03.783
S025.20.46.530 E023.31.50.764
S025.20.32.574 E023.31.25.683
S025.20.47.577 E023.30.39.308
S025.21.00.615 E023.29.45.132
S025.19.23.384 E023.29.53.354
S025.18.18.022 E023.28.59.462
S025.17.46.703 E023.28.26.784
S025.18.00.149 E023.27.49.118
S025.17.29.484 E023.27.26.689
S025.17.10.483 E023.27.57.619
S025.16.36.336 E023.27.59.377
S025.16.31.182 E023.26.23.949
S025.18.53.452 E023.25.01.629
S025.18.11.400 E023.24.23.477
S025.18.08.212 E023.22.10.570
S025.17.23.906 E023.22.09.313
S025.16.53.123 E023.21.01.042
S025.17.26.931 E023.19.20.612
S025.17.05.037 E023.18.47.282
S025.17.18.725 E023.18.03.237
S025.17.34.401 E023.17.26.996
S025.16.28.256 E023.16.45.745
S025.16.47.062 E023.15.51.657
S025.16.28.998 E023.14.53.216
S025.16.40.373 E023.14.07.924
S025.16.19.101 E023.12.29.757
S025.16.46.659 E023.10.55.463
S025.18.03.589 E023.10.04.873
S025.18.13.238 E023.09.05.337
S025.18.38.629 E023.07.52.611
S025.18.00.012 E023.06.36.025
S025.18.30.918 E023.05.29.916
S025.19.35.873 E023.04.45.124
S025.19.22.794 E023.03.31.146
S025.17.39.080 E023.03.51.707
S025.17.14.653 E023.02.53.590
S025.18.25.894 E023.02.02.715
S025.17.54.786 E023.00.30.588
S025.19.26.236 E023.00.51.882
S025.20.19.027 E023.00.19.218
S025.20.20.303 E023.00.16.724
S025.20.21.007 E022.58.41.470
S025.21.40.666 E022.58.32.467
S025.22.29.619 E022.58.35.345
S025.23.55.178 E022.56.53.400
S025.25.21.661 E022.54.45.690
S025.27.09.044 E022.53.37.605
S025.28.15.256 E022.52.56.681
S025.28.40.647 E022.54.28.826
S025.29.09.168 E022.53.50.648
S025.28.46.630 E022.52.07.006
S025.29.27.304 E022.50.23.580
S025.30.17.005 E022.51.31.617
S025.31.00.846 E022.51.16.440
S025.31.47.347 E022.51.19.552
S025.32.53.635 E022.50.14.589
S025.34.08.661 E022.49.52.170
S025.34.25.799 E022.49.06.651
S025.35.15.651 E022.49.21.490
S025.35.55.147 E022.50.26.069
S025.36.22.430 E022.51.12.989
S025.37.20.971 E022.51.10.202
S025.37.29.071 E022.49.49.388
S025.37.37.438 E022.48.22.041
S025.38.14.477 E022.48.02.461
S025.39.08.994 E022.48.37.010
S025.39.22.992 E022.49.49.749
S025.39.51.659 E022.49.41.122
S025.41.14.888 E022.49.20.249
S025.42.26.031 E022.48.35.407
S025.43.26.177 E022.47.30.527
S025.43.44.888 E022.46.06.250
S025.45.31.367 E022.45.40.604
S025.47.04.578 E022.45.46.519
S025.47.16.165 E022.44.54.295
S025.47.29.303 E022.43.53.106
S025.48.19.229 E022.44.24.765
S025.48.31.022 E022.45.41.685
S025.49.20.112 E022.46.49.967
S025.50.16.374 E022.46.28.775
S025.51.15.885 E022.45.13.308
S025.51.28.178 E022.44.01.367
S025.52.01.310 E022.44.25.537
S025.52.51.733 E022.44.27.421
S025.53.02.727 E022.43.47.891
S025.53.18.072 E022.42.47.846
S025.54.17.819 E022.42.49.093
S025.54.37.511 E022.43.51.326
S025.55.02.258 E022.44.43.430
S025.57.09.505 E022.43.18.214
S025.58.28.392 E022.43.51.703
S025.59.29.685 E022.43.31.031
S026.00.52.881 E022.43.37.640
S026.01.11.748 E022.42.36.805
S026.01.18.480 E022.41.59.108
S026.00.50.290 E022.40.32.454
S026.01.18.059 E022.39.43.619
S026.01.54.900 E022.39.59.844
S026.03.54.592 E022.40.18.010
S026.05.06.515 E022.39.30.444
S026.05.40.560 E022.37.59.571
S026.06.23.002 E022.37.46.511
S026.07.08.304 E022.38.14.838
S026.07.18.515 E022.37.25.187
S026.07.41.572 E022.36.33.676
S026.08.35.176 E022.36.27.741
S026.08.56.126 E022.35.58.025
S026.08.10.280 E022.34.49.571
S026.08.57.108 E022.34.39.421
S026.10.42.727 E022.34.36.493
S026.11.36.418 E022.34.19.721
S026.12.39.732 E022.33.55.695
S026.13.38.339 E022.32.59.209
S026.13.14.781 E022.30.59.154
S026.12.35.396 E022.30.11.837
S026.12.20.406 E022.28.59.814
S026.13.48.815 E022.26.52.314
S026.13.13.136 E022.25.27.279
S026.14.15.664 E022.24.53.100
S026.14.46.962 E022.24.02.907
S026.16.11.071 E022.24.15.463
S026.17.03.368 E022.22.55.374
S026.17.07.882 E022.21.58.484
S026.18.03.251 E022.21.50.016
S026.19.24.093 E022.21.27.410
S026.19.18.977 E022.19.31.903
S026.20.36.180 E022.18.40.123
S026.20.11.669 E022.16.59.008
S026.20.57.589 E022.14.15.208
S026.22.06.925 E022.14.15.098
S026.22.56.144 E022.13.12.843
S026.23.22.661 E022.11.49.828
S026.24.10.398 E022.11.26.520
S026.24.41.712 E022.12.05.988
S026.25.48.647 E022.11.58.086
S026.25.59.966 E022.11.05.476
S026.26.43.752 E022.10.49.804
S026.27.22.719 E022.11.07.626
S026.28.08.917 E022.10.46.907
S026.28.41.185 E022.09.54.247
S026.29.23.279 E022.09.17.743
S026.29.58.295 E022.09.43.149
S026.30.34.526 E022.09.48.288
S026.37.46.029 E022.03.10.887
S026.38.04.589 E022.02.09.803
S026.38.28.966 E022.01.08.953
S026.38.47.752 E022.00.01.397
S026.39.13.141 E021.59.04.442
S026.39.50.849 E021.57.48.675
S026.40.10.538 E021.56.15.266
S026.40.07.609 E021.55.27.284
S026.40.05.591 E021.54.13.425
S026.40.19.305 E021.53.15.812
S026.40.11.645 E021.51.55.060
S026.39.58.128 E021.50.33.899
S026.39.52.028 E021.49.33.807
S026.40.10.948 E021.48.19.343
S026.40.33.198 E021.47.10.221
S026.41.28.264 E021.46.31.497
S026.42.23.850 E021.46.09.763
S026.42.52.564 E021.46.54.242
S026.44.12.084 E021.47.14.080
S026.45.40.471 E021.47.39.544
S026.46.25.100 E021.47.37.594
S026.47.30.709 E021.47.31.744
S026.48.28.319 E021.46.11.487
S026.48.56.256 E021.45.39.120
S026.49.40.307 E021.44.52.490
S026.50.16.024 E021.43.28.358
S026.51.07.180 E021.42.33.354
S026.51.26.275 E021.41.12.484
S026.51.48.709 E021.39.56.902
S026.52.00.072 E021.38.21.344
S026.51.41.072 E021.37.16.860
S026.50.47.996 E021.36.08.183
S026.50.27.111 E021.34.42.575
S026.50.54.106 E021.33.29.498
S026.50.41.828 E021.32.28.889
S026.51.25.318 E021.31.50.756
S026.51.37.016 E021.30.39.133
S026.50.45.574 E021.29.41.840
S026.50.20.565 E021.28.14.510
S026.50.12.093 E021.27.13.516
S026.49.33.260 E021.26.13.840
S026.49.32.412 E021.24.51.024
S026.49.22.816 E021.23.45.886
S026.49.43.821 E021.23.09.195
S026.49.53.999 E021.22.06.113
S026.49.31.470 E021.21.02.860
S026.49.44.317 E021.19.48.104
S026.50.42.809 E021.18.49.678
S026.51.02.286 E021.17.09.812
S026.50.23.023 E021.15.47.109
S026.50.49.078 E021.14.17.680
S026.50.35.476 E021.12.50.540
S026.51.11.332 E021.11.43.367
S026.51.47.164 E021.10.36.198
S026.51.54.949 E021.09.31.759
S026.52.19.928 E021.08.11.429
S026.49.32.481 E021.01.40.898
S027.29.56.876 E021.00.02.262
S027.30.02.288 E019.54.51.951
S027.29.51.210 E015.01.05.706
S030.29.42.683 E015.00.17.841
S030.30.12.646 E021.16.23.194
S031.19.48.867 E023.46.05.711
S030.55.44.365 E025.59.54.036
S030.28.25.100 E028.17.17.185
S031.36.25.718 E029.31.25.422
S033.00.02.186 E031.59.58.974
S027.48.45.549 E035.00.12.783
