[REGIONS]
; - FACA_ACC_West
FACA_ACC_West 0 S036.59.59.972 E022.25.41.956
S025.25.38.633 E023.40.38.149
S025.24.52.055 E023.39.42.674
S025.25.43.258 E023.39.26.857
S025.25.53.061 E023.38.14.140
S025.24.29.425 E023.37.45.072
S025.24.12.807 E023.36.39.321
S025.23.28.743 E023.37.13.326
S025.22.52.374 E023.36.28.982
S025.23.43.397 E023.35.55.768
S025.23.46.266 E023.35.13.133
S025.22.34.179 E023.35.06.266
S025.22.14.986 E023.33.22.153
S025.21.24.423 E023.33.42.538
S025.21.08.473 E023.32.03.777
S025.20.27.213 E023.31.23.051
S025.21.02.386 E023.29.44.317
S025.19.41.179 E023.29.58.881
S025.18.36.943 E023.28.55.392
S025.17.51.778 E023.28.36.182
S025.18.04.880 E023.27.48.244
S025.17.38.345 E023.27.27.198
S025.16.37.475 E023.28.00.376
S025.16.36.130 E023.26.29.693
S025.18.54.022 E023.25.02.927
S025.18.27.241 E023.24.16.469
S025.18.12.226 E023.22.09.693
S025.17.12.530 E023.21.47.416
S025.17.04.819 E023.20.50.293
S025.17.32.818 E023.19.25.424
S025.16.48.779 E023.18.45.949
S025.17.24.249 E023.18.18.112
S025.17.32.902 E023.17.27.553
S025.16.27.005 E023.16.42.286
S025.16.45.533 E023.15.44.728
S025.16.35.608 E023.14.54.260
S025.16.53.225 E023.14.04.680
S025.16.31.908 E023.12.32.180
S025.16.53.224 E023.11.01.809
S025.18.08.732 E023.10.04.086
S025.18.11.153 E023.08.56.266
S025.19.02.011 E023.07.52.662
S025.18.12.628 E023.06.42.403
S025.18.55.207 E023.05.14.037
S025.19.58.368 E023.04.40.390
S025.19.41.465 E023.03.38.504
S025.17.51.295 E023.03.43.151
S025.17.21.984 E023.03.04.309
S025.18.45.673 E023.01.52.862
S025.17.43.861 E023.01.03.501
S025.17.59.419 E023.00.21.404
S025.19.44.677 E023.00.41.628
S025.20.24.507 E023.00.09.294
S025.20.26.235 E022.58.29.311
S025.21.57.342 E022.58.33.923
S025.22.55.767 E022.58.06.956
S025.24.05.883 E022.56.04.213
S025.25.06.796 E022.54.41.842
S025.27.39.316 E022.53.28.923
S025.28.30.852 E022.53.08.425
S025.28.55.009 E022.54.06.686
S025.29.24.215 E022.53.47.542
S025.29.02.146 E022.51.10.867
S025.29.51.809 E022.50.56.203
