[REGIONS]
; - FABE_CTR
S033.08.39.241 E027.33.16.324
S033.09.48.827 E027.34.00.456
S033.10.54.101 E027.34.51.089
S033.11.56.041 E027.35.48.577
S033.12.53.474 E027.36.52.563
S033.13.45.809 E027.38.01.807
S033.14.22.645 E027.38.54.052
S033.08.57.189 E028.01.11.500
; - FAGG_CTR
S033.57.07.358 E022.07.28.171
S033.58.13.634 E022.07.10.837
S033.59.21.220 E022.06.59.758
S034.00.28.651 E022.06.56.445
S034.01.37.136 E022.06.59.418
S034.02.43.712 E022.07.10.471
S034.03.50.188 E022.07.28.204
S034.04.54.596 E022.07.52.527
S034.05.57.816 E022.08.24.150
S034.06.58.278 E022.09.02.185
S034.07.55.583 E022.09.45.365
S034.08.49.110 E022.10.35.824
S034.09.39.474 E022.11.30.591
S034.09.46.078 E022.11.38.078
S034.10.15.610 E022.32.49.332
S034.09.36.957 E022.33.42.048
S034.08.47.602 E022.34.36.893
S034.07.52.944 E022.35.26.399
S034.06.55.665 E022.36.09.966
S034.05.55.413 E022.36.47.859
S034.04.52.588 E022.37.19.390
S034.03.47.619 E022.37.42.729
S034.02.40.834 E022.38.00.587
S034.01.34.206 E022.38.11.667
S034.00.25.431 E022.38.15.041
S033.59.18.284 E022.38.10.106
S033.58.10.927 E022.37.59.072
S033.57.05.141 E022.37.41.994
S033.56.13.148 E022.37.20.494
S033.57.26.760 E022.22.30.831
S033.56.39.130 E022.11.25.767
S033.55.30.007 E022.08.05.637
S033.56.02.633 E022.07.52.928
; - FAGM_ATZ
FAGM_ATZ 16711680 
S026.11.07.699 E028.06.47.119
S026.11.10.200 E028.06.30.257
S026.11.15.244 E028.06.13.110
S026.11.21.486 E028.05.56.925
S026.11.28.254 E028.05.41.462
S026.11.36.606 E028.05.26.606
S026.11.46.323 E028.05.12.567
S026.11.56.727 E028.04.59.613
S026.12.08.339 E028.04.47.617
S026.12.20.533 E028.04.36.866
S026.12.33.771 E028.04.27.399
S026.12.47.258 E028.04.19.194
S026.13.01.924 E028.04.12.357
S026.13.16.653 E028.04.06.963
S026.13.31.844 E028.04.02.935
S026.13.47.373 E028.04.00.556
S026.14.02.953 E028.03.59.678
S026.14.18.814 E028.04.00.053
S026.14.34.431 E028.04.02.416
S026.14.49.807 E028.04.05.950
S026.15.04.754 E028.04.10.957
S026.15.19.270 E028.04.17.558
S026.15.33.254 E028.04.25.441
S026.15.46.601 E028.04.34.722
S026.15.59.072 E028.04.45.137
S026.16.10.893 E028.04.57.155
S026.16.21.542 E028.05.09.232
S026.16.31.334 E028.05.23.512
S026.16.39.703 E028.05.38.023
S026.16.47.144 E028.05.53.374
S026.16.53.373 E028.06.09.567
S026.16.58.221 E028.06.26.274
S026.17.01.724 E028.06.43.042
S026.17.04.373 E028.07.00.685
S026.17.04.836 E028.07.18.085
S026.17.04.252 E028.07.35.486
S026.17.02.403 E028.07.52.844
S026.16.59.050 E028.08.10.256
S026.16.54.526 E028.08.26.854
S026.16.48.651 E028.08.43.051
S026.16.41.509 E028.08.58.827
S026.16.33.312 E028.09.13.431
S026.16.23.655 E028.09.27.423
S026.16.13.304 E028.09.40.476
S026.16.02.316 E028.09.52.570
S026.15.49.385 E028.10.03.173
S026.15.36.257 E028.10.12.721
S026.15.22.362 E028.10.21.024
S026.15.08.021 E028.10.27.626
S026.14.53.160 E028.10.33.262
S026.14.37.922 E028.10.37.020
S026.14.22.437 E028.10.39.522
S026.14.06.911 E028.10.40.525
S026.13.51.272 E028.10.39.901
S026.13.35.782 E028.10.37.839
S026.13.19.869 E028.10.34.024
S026.13.05.058 E028.10.28.872
S026.12.50.356 E028.10.22.551
S026.12.36.950 E028.10.15.131
S026.12.23.094 E028.10.05.323
S026.12.10.666 E028.09.54.837
S026.11.59.158 E028.09.43.039
S026.11.48.405 E028.09.30.410
S026.11.38.616 E028.09.16.430
S026.11.30.003 E028.09.01.547
S026.11.22.668 E028.08.46.535
S026.11.16.521 E028.08.30.503
S026.11.11.566 E028.08.13.862
S026.11.08.167 E028.07.56.510
S026.11.05.982 E028.07.39.530
S026.11.04.865 E028.07.21.523
S026.11.05.562 E028.07.04.057
; - FAHS_CTR
FAHS_CTR 16711680 
S024.06.42.154 E030.57.25.166
S024.07.11.531 E030.56.04.924
S024.07.46.582 E030.54.49.337
S024.08.27.082 E030.53.36.357
S024.09.14.604 E030.52.27.645
S024.10.07.080 E030.51.23.044
S024.11.03.039 E030.50.23.582
S024.12.06.076 E030.49.30.817
S024.13.11.009 E030.48.43.518
S024.14.20.144 E030.48.03.097
S024.15.31.989 E030.47.28.974
S024.16.46.394 E030.47.01.774
S024.18.03.500 E030.46.42.387
S024.19.20.144 E030.46.29.767
S024.20.39.431 E030.46.25.139
S024.21.56.661 E030.46.27.692
S024.23.14.307 E030.46.37.971
S024.24.32.152 E030.46.54.970
S024.25.47.033 E030.47.20.458
S024.27.00.143 E030.47.52.175
S024.28.10.140 E030.48.30.602
S024.29.16.416 E030.49.16.020
S024.30.19.694 E030.50.08.587
S024.31.17.720 E030.51.05.479
S024.32.10.843 E030.52.08.371
S024.32.59.775 E030.53.15.620
S024.33.43.414 E030.54.27.904
S024.34.20.885 E030.55.42.478
S024.34.50.839 E030.57.00.924
S024.35.15.257 E030.58.24.709
S024.35.33.405 E030.59.48.455
S024.35.44.328 E031.01.14.383
S024.35.48.680 E031.02.40.397
S024.35.46.457 E031.04.05.883
S024.35.36.837 E031.05.32.497
S024.35.20.085 E031.06.57.457
S024.34.58.874 E031.08.17.355
S024.34.28.262 E031.09.38.890
S024.33.53.319 E031.10.56.166
S024.33.11.584 E031.12.08.807
S024.32.23.972 E031.13.17.555
S024.31.31.609 E031.14.22.048
S024.30.35.085 E031.15.20.649
S024.29.32.839 E031.16.14.594
S024.28.27.843 E031.17.00.341
S024.27.18.170 E031.17.41.602
S024.26.06.285 E031.18.15.228
S024.24.51.036 E031.18.41.666
S024.23.34.655 E031.19.00.981
S024.22.16.684 E031.19.13.360
S024.20.59.430 E031.19.18.488
S024.19.40.581 E031.19.14.700
S024.18.22.873 E031.19.04.815
S024.17.05.376 E031.18.46.340
S024.15.51.902 E031.18.22.209
S024.14.38.824 E031.17.49.340
S024.13.28.888 E031.17.10.965
S024.12.22.882 E031.16.25.113
S024.11.19.583 E031.15.33.611
S024.10.21.724 E031.14.35.632
S024.09.27.740 E031.13.33.376
S024.08.39.441 E031.12.25.352
S024.07.56.737 E031.11.14.072
S024.07.20.025 E031.09.58.508
S024.06.48.874 E031.08.39.086
S024.06.24.631 E031.07.17.428
S024.06.06.747 E031.05.53.093
S024.05.55.637 E031.04.28.672
S024.05.51.744 E031.03.03.374
S024.05.53.504 E031.01.36.461
S024.06.03.264 E031.00.10.808
S024.06.19.078 E030.58.47.473
; - FAKM_CTR
FAKM_CTR 16711680 
S028.52.24.815 E024.35.28.787
S028.52.56.131 E024.35.19.544
S028.53.26.907 E024.35.13.509
S028.53.58.080 E024.35.09.975
S028.54.29.244 E024.35.09.668
S028.55.00.474 E024.35.12.673
S028.55.31.000 E024.35.18.449
S028.56.01.550 E024.35.27.073
S028.56.30.799 E024.35.39.882
S028.56.59.369 E024.35.54.998
S028.57.26.617 E024.36.12.370
S028.57.52.698 E024.36.32.919
S028.58.16.804 E024.36.55.523
S028.58.38.909 E024.37.21.155
S028.58.59.328 E024.37.48.578
S028.59.17.135 E024.38.17.314
S028.59.33.204 E024.38.48.848
S028.59.46.463 E024.39.20.973
S028.59.57.318 E024.39.54.643
S029.00.05.482 E024.40.29.067
S029.00.11.196 E024.41.04.704
S029.00.14.258 E024.41.40.380
S029.00.14.240 E024.42.16.253
S029.00.11.599 E024.42.51.991
S029.00.06.470 E024.43.27.116
S028.59.58.331 E024.44.01.881
S028.59.48.286 E024.44.35.205
S028.59.34.909 E024.45.08.238
S028.59.19.293 E024.45.39.243
S028.59.01.641 E024.46.08.328
S028.58.41.775 E024.46.36.174
S028.58.19.251 E024.47.01.571
S028.57.55.434 E024.47.24.548
S028.57.29.701 E024.47.45.085
S028.57.02.197 E024.48.03.392
S028.56.33.843 E024.48.18.774
S028.56.04.711 E024.48.30.811
S028.47.37.730 E024.52.24.510
S028.47.07.722 E024.52.36.372
S028.46.37.384 E024.52.43.617
S028.46.06.181 E024.52.48.763
S028.45.34.216 E024.52.50.858
S028.45.03.168 E024.52.49.702
S028.44.32.005 E024.52.44.679
S028.44.01.479 E024.52.37.632
S028.43.31.745 E024.52.27.726
S028.43.02.667 E024.52.14.877
S028.42.34.031 E024.51.58.120
S028.42.07.404 E024.51.39.269
S028.41.42.279 E024.51.17.417
S028.41.18.941 E024.50.53.451
S028.40.57.473 E024.50.27.316
S028.40.37.823 E024.49.59.466
S028.40.21.259 E024.49.29.652
S028.40.06.121 E024.48.58.061
S028.39.53.617 E024.48.25.284
S028.39.43.859 E024.47.51.140
S028.39.36.834 E024.47.16.374
S028.39.32.308 E024.46.41.097
S028.39.30.164 E024.46.05.854
S028.39.31.193 E024.45.29.870
S028.39.34.798 E024.44.54.337
S028.39.41.436 E024.44.19.444
S028.39.50.626 E024.43.44.495
S028.40.01.751 E024.43.11.576
S028.40.16.408 E024.42.39.820
S028.40.32.425 E024.42.09.550
S028.40.51.357 E024.41.40.059
S028.41.12.700 E024.41.14.053
S028.41.35.517 E024.40.49.743
S028.41.59.791 E024.40.27.217
S028.42.26.161 E024.40.07.508
S028.42.53.469 E024.39.51.079
S028.43.21.369 E024.39.36.654
S028.51.55.977 E024.35.41.035
; - FAKN_CTR
FAKN_CTR 16711680 
S025.25.57.271 E030.56.09.014
S025.26.46.210 E030.56.28.826
S025.27.33.319 E030.56.53.784
S025.28.18.582 E030.57.23.291
S025.29.01.368 E030.57.56.897
S025.29.41.063 E030.58.34.814
S025.30.17.750 E030.59.16.094
S025.30.50.856 E031.00.00.745
S025.31.20.525 E031.00.48.581
S025.31.46.570 E031.01.38.855
S025.32.08.250 E031.02.32.122
S025.32.25.254 E031.03.26.775
S025.32.38.489 E031.04.22.669
S025.32.46.980 E031.05.20.223
S025.32.51.227 E031.06.17.848
S025.32.53.540 E031.06.56.932
S025.19.23.515 E031.17.01.628
S025.18.56.187 E031.16.50.332
S025.18.08.947 E031.16.25.308
S025.17.24.037 E031.15.55.093
S025.16.41.608 E031.15.22.180
S025.16.01.892 E031.14.44.773
S025.15.25.479 E031.14.03.606
S025.14.52.268 E031.13.18.419
S025.14.22.628 E031.12.31.247
S025.13.56.882 E031.11.40.324
S025.13.35.508 E031.10.47.618
S025.13.28.598 E031.10.30.218
S025.13.17.852 E031.09.53.834
S025.13.04.931 E031.08.56.977
S025.12.56.539 E031.08.00.157
S025.12.52.655 E031.07.02.336
S025.12.52.338 E031.06.04.613
S025.12.51.278 E031.05.53.964
S025.25.54.139 E030.56.08.337
; - FALA_CTR
FALA_CTR 16711680 
S025.57.46.387 E027.45.47.968
S025.58.07.746 E027.45.32.319
S025.58.30.916 E027.45.18.864
S025.58.54.689 E027.45.08.203
S025.59.20.426 E027.44.59.460
S025.59.45.626 E027.44.53.124
S026.00.12.493 E027.44.49.647
S026.00.38.184 E027.44.48.670
S026.01.04.660 E027.44.50.205
S026.01.30.599 E027.44.54.004
S026.01.55.980 E027.45.00.252
S026.02.20.687 E027.45.08.715
S026.02.44.781 E027.45.20.492
S026.03.07.904 E027.45.33.958
S026.03.30.021 E027.45.49.160
S026.03.50.741 E027.46.07.411
S026.04.10.255 E027.46.27.330
S026.04.27.597 E027.46.48.743
S026.04.43.586 E027.47.11.609
S026.04.57.726 E027.47.36.249
S026.05.09.571 E027.48.02.301
S026.05.19.419 E027.48.29.088
S026.05.27.196 E027.48.57.184
S026.05.32.841 E027.49.25.651
S026.05.35.987 E027.49.54.390
S026.05.37.413 E027.50.23.392
S026.05.36.045 E027.50.53.456
S026.05.32.269 E027.51.22.240
S026.05.26.790 E027.51.50.003
S026.05.19.042 E027.52.17.493
S026.05.09.343 E027.52.43.857
S026.04.56.381 E027.53.10.856
S026.04.42.608 E027.53.35.569
S026.04.26.356 E027.53.58.211
S025.59.32.702 E027.59.51.579
S025.58.09.872 E028.01.31.817
S025.50.48.759 E028.01.26.861
S025.48.37.174 E027.59.32.434
S025.47.29.549 E027.57.58.844
S025.47.54.219 E027.57.29.083
S025.48.51.968 E027.57.27.453
S025.49.23.520 E027.55.42.173
S025.52.28.709 E027.51.59.469
S025.57.06.185 E027.46.24.589
S025.57.25.428 E027.46.05.528
; - FALE_CTR
FALE_CTR 16711680 
S029.37.59.951 E030.57.40.918
S029.38.26.144 E030.57.21.349
S029.38.53.909 E030.57.04.471
S029.39.22.491 E030.56.50.436
S029.39.52.600 E030.56.39.906
S029.40.23.463 E030.56.31.933
S029.40.54.373 E030.56.27.251
S029.41.25.675 E030.56.25.455
S029.41.57.115 E030.56.26.842
S029.42.28.019 E030.56.31.427
S029.42.58.841 E030.56.39.219
S029.43.28.757 E030.56.49.982
S029.43.57.750 E030.57.03.563
S029.44.25.520 E030.57.20.218
S029.44.52.072 E030.57.39.660
S029.45.16.993 E030.58.01.008
S029.45.40.096 E030.58.26.039
S029.46.01.637 E030.58.52.168
S029.46.20.839 E030.59.20.769
S029.46.37.330 E030.59.51.195
S029.46.52.441 E031.00.23.056
S029.47.04.172 E031.00.56.618
S029.47.13.630 E031.01.30.821
S029.47.20.710 E031.02.06.261
S029.47.24.694 E031.02.42.143
S029.47.26.299 E031.03.18.229
S029.47.24.655 E031.03.54.616
S029.47.20.980 E031.04.30.252
S029.47.14.307 E031.05.05.162
S029.47.05.016 E031.05.40.042
S029.46.53.002 E031.06.13.207
S029.46.38.574 E031.06.45.442
S029.46.22.252 E031.07.16.079
S029.46.02.506 E031.07.44.638
S029.45.41.671 E031.08.11.126
S029.45.18.075 E031.08.35.558
S029.45.04.241 E031.08.48.773
S029.34.39.019 E031.17.50.578
S029.34.38.055 E031.17.51.738
S029.34.28.744 E031.18.01.972
S029.34.02.803 E031.18.21.180
S029.33.34.888 E031.18.37.942
S029.33.06.570 E031.18.52.437
S029.32.36.193 E031.19.03.575
S029.32.06.151 E031.19.11.480
S029.31.35.045 E031.19.16.582
S029.31.03.506 E031.19.18.797
S029.30.32.160 E031.19.17.215
S029.30.00.917 E031.19.13.282
S029.29.30.194 E031.19.05.474
S029.29.00.589 E031.18.55.188
S029.28.30.976 E031.18.41.540
S029.28.03.211 E031.18.25.331
S029.27.36.685 E031.18.06.280
S029.27.11.359 E031.17.44.337
S029.26.48.430 E031.17.20.657
S029.26.26.331 E031.16.54.310
S029.26.07.156 E031.16.25.619
S029.25.49.912 E031.15.56.273
S029.25.35.182 E031.15.24.048
S029.25.23.007 E031.14.50.903
S029.25.13.353 E031.14.16.615
S029.25.06.152 E031.13.41.618
S029.25.01.661 E031.13.06.025
S029.24.59.841 E031.12.29.950
